plant_disease_name,causes,recommendations,predicted_score,uploaded_image_path,uploaded_time,detected_time
Blue Mold,Bacterial Infection,Improve soil drainage,0.72,/user/user/document/image_792.jpg,2023-03-10 21:58:27,2023-01-25 10:45:28
Tobacco Mosaic Virus,Pests,Use resistant varieties,0.57,/user/user/document/image_294.jpg,2022-01-18 08:58:34,2022-02-15 11:35:54
Bean Rust,Bacterial Infection,Control pests,0.85,/user/user/document/image_105.jpg,2022-08-12 23:16:46,2023-12-15 07:11:46
Cotton Root Rot,Fungal Infection,Adjust watering schedule,0.91,/user/user/document/image_539.jpg,2022-10-01 14:25:15,2022-08-30 00:44:55
Blue Mold,Nutrient Deficiency,Use fungicide,0.64,/user/user/document/image_702.jpg,2022-09-26 06:07:43,2023-11-10 04:34:58
Peach Leaf Curl,Chemical Damage,Provide adequate nutrition,0.57,/user/user/document/image_17.jpg,2023-04-17 08:52:34,2023-08-30 03:46:29
Early Blight,Bacterial Infection,Use fungicide,0.8,/user/user/document/image_960.jpg,2023-04-10 05:52:50,2023-08-29 09:42:41
Sooty Mold,Chemical Damage,Adjust watering schedule,0.89,/user/user/document/image_162.jpg,2022-05-13 22:35:02,2023-05-04 01:04:41
Bacterial Speck,Bacterial Infection,Use resistant varieties,0.89,/user/user/document/image_620.jpg,2022-02-09 10:15:23,2024-01-27 12:09:01
Huanglongbing,Environmental Stress,Control pests,0.66,/user/user/document/image_38.jpg,2023-10-14 05:00:25,2023-09-09 21:21:39
Brown Rot,Poor Drainage,Adjust watering schedule,0.87,/user/user/document/image_613.jpg,2022-12-16 12:47:43,2024-02-04 08:00:22
Squash Mosaic Virus,Pests,Use proper sanitation practices,0.73,/user/user/document/image_625.jpg,2024-05-05 03:13:23,2023-06-30 18:32:23
Black Root Rot,Viral Infection,Adjust watering schedule,0.53,/user/user/document/image_879.jpg,2023-06-22 19:50:20,2022-08-27 09:28:54
Potato Scab,Pests,Adjust watering schedule,0.97,/user/user/document/image_711.jpg,2022-04-23 04:20:33,2023-10-16 22:25:18
Tobacco Mosaic Virus,Poor Drainage,Control pests,0.76,/user/user/document/image_281.jpg,2022-12-25 17:35:09,2024-04-17 03:05:29
Alternaria Leaf Spot,Viral Infection,Apply bactericide,0.79,/user/user/document/image_933.jpg,2023-11-26 13:02:35,2022-07-04 17:55:47
Leaf Blotch,Poor Drainage,Provide adequate nutrition,0.75,/user/user/document/image_309.jpg,2024-02-13 08:44:06,2023-10-08 13:20:29
Sclerotinia Stem Rot,Environmental Stress,Use proper sanitation practices,1.0,/user/user/document/image_826.jpg,2022-01-06 19:50:57,2022-03-29 11:11:41
Huanglongbing,Nutrient Deficiency,Apply bactericide,0.64,/user/user/document/image_823.jpg,2022-01-21 20:55:30,2023-01-05 01:27:28
Dutch Elm Disease,Fungal Infection,Use fungicide,0.69,/user/user/document/image_858.jpg,2022-02-25 06:07:29,2023-11-07 19:48:41
Anthracnose,Poor Drainage,Adjust watering schedule,0.97,/user/user/document/image_181.jpg,2023-11-11 07:34:32,2024-05-11 12:43:53
White Rust,Viral Infection,Provide adequate nutrition,0.68,/user/user/document/image_302.jpg,2023-12-08 07:26:24,2023-12-24 08:55:19
Alternaria Leaf Spot,Poor Drainage,Use fungicide,0.88,/user/user/document/image_35.jpg,2024-03-05 03:27:13,2022-03-02 15:25:12
Late Blight,Environmental Stress,Remove infected leaves,0.77,/user/user/document/image_366.jpg,2022-12-19 06:56:31,2023-08-09 18:12:51
Zinc Deficiency,Viral Infection,Provide adequate nutrition,0.61,/user/user/document/image_151.jpg,2022-04-19 20:29:32,2022-09-15 15:36:23
Rhizoctonia Root Rot,Nutrient Deficiency,Control pests,0.94,/user/user/document/image_146.jpg,2024-04-24 01:25:20,2024-01-23 14:10:40
Black Rot,Nutrient Deficiency,Apply neem oil,0.96,/user/user/document/image_883.jpg,2024-03-02 20:58:56,2024-01-25 00:40:47
Verticillium Wilt,Nutrient Deficiency,Apply neem oil,0.87,/user/user/document/image_156.jpg,2023-05-15 14:48:11,2023-11-15 04:02:25
Citrus Canker,Chemical Damage,Remove infected leaves,0.75,/user/user/document/image_447.jpg,2023-06-23 12:33:07,2023-11-25 07:19:45
Watermelon Mosaic Virus,Nutrient Deficiency,Use resistant varieties,0.5,/user/user/document/image_888.jpg,2022-03-29 15:57:22,2024-04-28 03:48:37
Tomato Spotted Wilt Virus,Chemical Damage,Use fungicide,0.52,/user/user/document/image_484.jpg,2023-03-25 07:15:48,2023-04-17 06:29:56
Eggplant Verticillium Wilt,Fungal Infection,Use resistant varieties,0.65,/user/user/document/image_333.jpg,2024-04-30 19:18:48,2022-08-25 17:23:15
Common Rust,Nutrient Deficiency,Apply bactericide,0.83,/user/user/document/image_893.jpg,2022-07-02 23:28:07,2023-02-11 19:25:48
Anthracnose Fruit Rot,Fungal Infection,Apply neem oil,0.95,/user/user/document/image_696.jpg,2023-11-27 19:48:45,2023-06-07 21:11:28
Sooty Mold,Fungal Infection,Improve soil drainage,0.91,/user/user/document/image_354.jpg,2022-10-07 09:15:59,2024-03-02 16:04:27
Angular Leaf Spot,Fungal Infection,Apply bactericide,0.76,/user/user/document/image_855.jpg,2024-03-20 17:24:01,2023-09-10 02:31:19
Brown Rot,Viral Infection,Apply neem oil,0.53,/user/user/document/image_993.jpg,2023-09-25 18:56:33,2024-02-21 12:13:08
Armillaria Root Rot,Nutrient Deficiency,Provide adequate nutrition,0.94,/user/user/document/image_623.jpg,2023-05-16 06:23:40,2023-05-28 17:20:52
Corky Root Rot,Environmental Stress,Apply bactericide,0.85,/user/user/document/image_786.jpg,2023-09-28 23:15:52,2022-05-17 06:09:33
Alternaria Leaf Spot,Fungal Infection,Provide adequate nutrition,0.84,/user/user/document/image_147.jpg,2022-10-14 08:08:50,2022-11-10 02:03:26
Black Spot,Fungal Infection,Use fungicide,0.77,/user/user/document/image_277.jpg,2022-09-04 07:06:41,2022-03-04 09:03:52
Dutch Elm Disease,Bacterial Infection,Apply bactericide,0.53,/user/user/document/image_753.jpg,2023-07-08 02:24:34,2022-11-21 05:52:14
Cabbage Yellows,Fungal Infection,Adjust watering schedule,0.54,/user/user/document/image_100.jpg,2022-08-25 12:20:49,2024-01-20 05:49:15
Maize Dwarf Mosaic Virus,Pests,Improve soil drainage,0.58,/user/user/document/image_658.jpg,2023-08-12 08:34:49,2023-07-18 12:52:03
Stemphylium Leaf Spot,Nutrient Deficiency,Adjust watering schedule,0.62,/user/user/document/image_216.jpg,2022-09-26 00:24:37,2023-03-06 15:36:47
Canker,Fungal Infection,Use resistant varieties,0.99,/user/user/document/image_148.jpg,2022-09-30 00:23:40,2022-12-16 18:05:31
Tobacco Mosaic Virus,Viral Infection,Apply bactericide,0.87,/user/user/document/image_914.jpg,2023-10-13 12:27:52,2023-05-03 05:10:22
Damping-Off,Chemical Damage,Apply bactericide,0.64,/user/user/document/image_694.jpg,2024-03-30 22:25:21,2022-10-30 13:23:56
Impatiens Necrotic Spot Virus,Viral Infection,Use resistant varieties,0.72,/user/user/document/image_676.jpg,2023-07-14 09:14:27,2022-09-11 02:57:54
Brown Patch,Nutrient Deficiency,Control pests,0.84,/user/user/document/image_121.jpg,2022-09-16 16:50:15,2024-05-06 18:27:24
Cotton Root Rot,Bacterial Infection,Adjust watering schedule,0.92,/user/user/document/image_841.jpg,2022-12-03 17:49:30,2022-09-10 23:30:58
Sooty Mold,Chemical Damage,Apply bactericide,0.81,/user/user/document/image_289.jpg,2022-06-22 23:06:42,2023-08-12 04:07:56
Leaf Rust,Nutrient Deficiency,Control pests,0.6,/user/user/document/image_514.jpg,2024-02-22 21:10:30,2024-04-01 22:50:40
Downy Mildew,Nutrient Deficiency,Control pests,0.92,/user/user/document/image_178.jpg,2023-08-30 21:52:27,2022-10-06 19:32:36
Kale Black Rot,Pests,Improve soil drainage,0.92,/user/user/document/image_727.jpg,2023-12-09 04:17:53,2022-10-14 03:29:44
Basal Stem Rot,Poor Drainage,Improve soil drainage,0.68,/user/user/document/image_388.jpg,2023-12-11 16:47:48,2023-01-28 12:23:20
Pink Root,Chemical Damage,Remove infected leaves,0.91,/user/user/document/image_857.jpg,2024-01-22 05:20:38,2022-12-13 07:29:43
Gray Leaf Spot,Chemical Damage,Apply bactericide,0.54,/user/user/document/image_995.jpg,2022-05-13 10:30:54,2022-09-19 16:05:01
Blossom End Rot,Nutrient Deficiency,Use proper sanitation practices,0.5,/user/user/document/image_927.jpg,2023-11-11 18:55:00,2022-02-21 03:11:43
Fire Blight,Environmental Stress,Adjust watering schedule,0.63,/user/user/document/image_302.jpg,2022-06-09 08:04:31,2023-09-08 17:35:57
Stem Rot,Viral Infection,Apply neem oil,0.66,/user/user/document/image_680.jpg,2022-01-15 01:55:05,2023-01-25 19:20:32
Phomopsis Blight,Environmental Stress,Apply neem oil,0.8,/user/user/document/image_153.jpg,2023-10-03 07:58:37,2024-04-04 03:24:20
Halo Blight,Fungal Infection,Control pests,0.6,/user/user/document/image_2.jpg,2022-06-13 12:39:38,2024-03-03 05:28:24
White Rust,Viral Infection,Apply bactericide,0.53,/user/user/document/image_296.jpg,2023-06-01 07:31:01,2023-12-30 00:08:38
Phomopsis Blight,Bacterial Infection,Remove infected leaves,0.56,/user/user/document/image_749.jpg,2024-01-25 08:47:13,2023-09-29 21:03:49
Ergot,Viral Infection,Provide adequate nutrition,0.84,/user/user/document/image_718.jpg,2023-12-02 15:57:37,2023-08-09 05:07:16
Bacterial Streak,Nutrient Deficiency,Apply neem oil,0.95,/user/user/document/image_383.jpg,2022-03-17 23:55:34,2023-02-20 22:57:31
Bacterial Streak,Environmental Stress,Adjust watering schedule,0.87,/user/user/document/image_955.jpg,2022-03-03 01:01:19,2023-11-30 12:48:13
Damping-Off,Viral Infection,Improve soil drainage,0.89,/user/user/document/image_758.jpg,2023-09-23 04:25:00,2022-08-09 08:52:34
Angular Leaf Spot,Fungal Infection,Improve soil drainage,0.9,/user/user/document/image_107.jpg,2023-03-24 23:04:08,2023-07-18 12:06:41
Impatiens Necrotic Spot Virus,Fungal Infection,Apply neem oil,0.66,/user/user/document/image_13.jpg,2024-03-29 02:45:25,2022-09-24 22:26:53
Basal Stem Rot,Nutrient Deficiency,Improve soil drainage,0.79,/user/user/document/image_20.jpg,2023-11-21 17:53:05,2022-09-17 09:18:37
Yellow Leaf Curl Virus,Bacterial Infection,Improve soil drainage,0.53,/user/user/document/image_125.jpg,2024-01-12 07:10:27,2024-01-10 01:25:40
Common Rust,Nutrient Deficiency,Use proper sanitation practices,0.64,/user/user/document/image_828.jpg,2023-12-09 06:12:04,2022-05-13 00:20:22
Potato Scab,Pests,Control pests,0.84,/user/user/document/image_221.jpg,2024-01-08 09:50:29,2024-03-30 15:52:28
Bacterial Blight,Pests,Adjust watering schedule,0.78,/user/user/document/image_305.jpg,2022-11-26 14:47:03,2024-04-02 14:24:04
Phomopsis Blight,Chemical Damage,Adjust watering schedule,0.71,/user/user/document/image_506.jpg,2023-09-01 17:09:20,2024-01-12 11:09:28
Tobacco Mosaic Virus,Nutrient Deficiency,Use proper sanitation practices,0.79,/user/user/document/image_91.jpg,2022-12-25 10:55:03,2024-01-08 02:00:31
Fire Blight,Pests,Use resistant varieties,0.76,/user/user/document/image_719.jpg,2023-06-30 07:47:03,2023-12-22 19:05:13
Cabbage Yellows,Nutrient Deficiency,Improve soil drainage,0.68,/user/user/document/image_214.jpg,2023-08-23 00:31:59,2022-09-17 15:21:46
Eggplant Verticillium Wilt,Pests,Apply bactericide,0.78,/user/user/document/image_619.jpg,2022-09-30 00:39:25,2023-04-16 05:30:24
Pythium Root Rot,Chemical Damage,Adjust watering schedule,0.89,/user/user/document/image_486.jpg,2023-09-02 01:53:33,2022-07-04 20:03:27
Tobacco Mosaic Virus,Poor Drainage,Apply bactericide,0.51,/user/user/document/image_101.jpg,2024-04-10 17:24:01,2022-08-05 16:17:57
Lettuce Drop,Chemical Damage,Use fungicide,0.98,/user/user/document/image_683.jpg,2023-01-04 17:30:35,2024-02-11 16:54:25
White Rust,Pests,Adjust watering schedule,0.86,/user/user/document/image_881.jpg,2022-10-22 20:52:59,2022-03-20 01:45:12
Sclerotinia Stem Rot,Pests,Apply neem oil,0.85,/user/user/document/image_285.jpg,2022-10-17 15:33:27,2024-03-16 10:37:51
Eggplant Verticillium Wilt,Poor Drainage,Control pests,0.69,/user/user/document/image_525.jpg,2023-06-14 04:55:48,2022-12-18 02:48:38
Brown Rot,Chemical Damage,Use resistant varieties,0.96,/user/user/document/image_429.jpg,2023-08-26 22:44:07,2022-02-09 09:16:23
Gray Leaf Spot,Bacterial Infection,Remove infected leaves,0.94,/user/user/document/image_517.jpg,2023-02-02 02:53:23,2022-07-14 08:25:08
Gummy Stem Blight,Viral Infection,Adjust watering schedule,0.7,/user/user/document/image_66.jpg,2022-07-13 13:29:11,2022-05-26 15:40:11
Clubroot,Pests,Apply bactericide,0.99,/user/user/document/image_478.jpg,2022-03-15 20:04:41,2023-08-27 00:07:14
Stemphylium Leaf Spot,Chemical Damage,Apply neem oil,0.57,/user/user/document/image_965.jpg,2022-10-24 20:39:00,2023-01-12 07:31:44
Canker,Fungal Infection,Adjust watering schedule,0.9,/user/user/document/image_532.jpg,2024-05-08 17:48:51,2023-08-30 10:25:04
Clubroot,Poor Drainage,Use resistant varieties,0.94,/user/user/document/image_949.jpg,2023-08-11 03:52:16,2023-04-18 06:48:47
Yellow Leaf Curl Virus,Poor Drainage,Apply neem oil,0.63,/user/user/document/image_906.jpg,2024-03-15 11:58:43,2022-01-29 10:10:19
Root Knot Nematode,Bacterial Infection,Apply neem oil,0.7,/user/user/document/image_285.jpg,2023-03-03 04:01:59,2023-09-28 19:33:17
Stemphylium Leaf Spot,Chemical Damage,Use fungicide,0.87,/user/user/document/image_367.jpg,2023-06-12 17:30:45,2023-10-26 14:00:47
Mosaic Virus,Viral Infection,Remove infected leaves,0.96,/user/user/document/image_193.jpg,2022-06-26 13:14:27,2022-01-16 06:21:51
Cabbage Yellows,Fungal Infection,Adjust watering schedule,0.99,/user/user/document/image_561.jpg,2023-03-26 06:18:52,2022-01-18 03:34:28
Yellow Leaf Curl Virus,Viral Infection,Use proper sanitation practices,0.95,/user/user/document/image_287.jpg,2022-05-11 03:13:59,2022-07-16 12:07:32
Citrus Canker,Pests,Use resistant varieties,0.92,/user/user/document/image_197.jpg,2023-09-16 03:49:45,2023-12-19 06:15:20
Hydrangea Rust,Poor Drainage,Improve soil drainage,0.92,/user/user/document/image_422.jpg,2022-11-20 08:19:51,2022-10-27 13:11:28
Peanut Leaf Spot,Bacterial Infection,Control pests,0.97,/user/user/document/image_22.jpg,2022-07-03 05:12:08,2022-03-20 16:42:32
Clubroot,Nutrient Deficiency,Use resistant varieties,0.73,/user/user/document/image_203.jpg,2022-01-11 10:10:37,2023-01-06 21:29:36
Blue Mold,Fungal Infection,Use proper sanitation practices,0.85,/user/user/document/image_907.jpg,2023-03-30 06:13:47,2023-04-18 13:26:23
White Mold,Pests,Control pests,0.65,/user/user/document/image_496.jpg,2023-10-14 04:44:04,2023-10-19 09:22:38
Citrus Greening,Poor Drainage,Adjust watering schedule,0.86,/user/user/document/image_369.jpg,2022-04-30 12:02:48,2023-09-19 07:42:34
Common Rust,Nutrient Deficiency,Provide adequate nutrition,0.88,/user/user/document/image_960.jpg,2023-05-05 20:26:17,2022-01-09 02:47:01
Fire Blight,Chemical Damage,Provide adequate nutrition,0.8,/user/user/document/image_216.jpg,2022-04-30 16:33:16,2023-12-26 15:08:15
Tobacco Mosaic Virus,Pests,Use resistant varieties,0.67,/user/user/document/image_936.jpg,2022-02-19 10:24:27,2022-11-27 09:17:29
Huanglongbing,Fungal Infection,Adjust watering schedule,0.7,/user/user/document/image_919.jpg,2022-12-04 00:21:27,2024-02-10 04:17:28
Citrus Greening,Chemical Damage,Use fungicide,0.65,/user/user/document/image_802.jpg,2022-11-10 22:13:56,2022-12-10 23:13:31
Black Knot,Poor Drainage,Use proper sanitation practices,0.72,/user/user/document/image_778.jpg,2022-06-22 23:38:56,2022-01-12 02:26:56
Alternaria Leaf Spot,Pests,Remove infected leaves,0.55,/user/user/document/image_861.jpg,2023-10-18 04:40:42,2022-03-14 00:56:26
Clubroot,Nutrient Deficiency,Apply bactericide,0.58,/user/user/document/image_830.jpg,2024-05-01 12:47:26,2022-03-14 11:27:33
Blue Mold,Viral Infection,Remove infected leaves,0.87,/user/user/document/image_383.jpg,2022-09-02 10:25:39,2022-07-19 01:32:34
Powdery Mildew,Bacterial Infection,Improve soil drainage,0.5,/user/user/document/image_672.jpg,2022-04-11 08:43:45,2022-08-22 05:15:22
Tomato Spotted Wilt Virus,Pests,Use fungicide,0.87,/user/user/document/image_679.jpg,2023-05-29 04:52:20,2024-02-09 18:15:41
Bacterial Blight,Environmental Stress,Adjust watering schedule,0.93,/user/user/document/image_935.jpg,2023-06-14 09:52:12,2023-05-23 23:27:58
Peanut Leaf Spot,Environmental Stress,Apply neem oil,0.67,/user/user/document/image_587.jpg,2023-08-05 11:12:29,2023-11-25 22:07:56
Halo Blight,Poor Drainage,Remove infected leaves,0.6,/user/user/document/image_855.jpg,2023-04-15 23:44:55,2024-04-21 09:17:31
Cucumber Mosaic Virus,Viral Infection,Apply bactericide,0.74,/user/user/document/image_452.jpg,2023-11-05 22:07:14,2022-02-01 20:22:57
Onion Downy Mildew,Bacterial Infection,Remove infected leaves,0.9,/user/user/document/image_248.jpg,2022-02-27 19:25:36,2022-01-06 08:47:17
Leaf Blotch,Bacterial Infection,Apply bactericide,0.64,/user/user/document/image_992.jpg,2024-02-26 01:23:18,2023-08-18 10:14:01
Bacterial Speck,Chemical Damage,Use proper sanitation practices,0.55,/user/user/document/image_530.jpg,2022-06-28 09:13:09,2022-08-01 11:23:12
Black Root Rot,Poor Drainage,Use resistant varieties,0.91,/user/user/document/image_657.jpg,2022-07-20 00:22:03,2024-05-12 00:29:20
Peach Leaf Curl,Chemical Damage,Provide adequate nutrition,0.8,/user/user/document/image_656.jpg,2023-11-25 16:55:49,2024-02-20 07:43:52
Southern Blight,Viral Infection,Control pests,0.73,/user/user/document/image_640.jpg,2023-03-18 21:28:53,2023-04-11 05:26:20
Botrytis Blight,Pests,Use resistant varieties,0.96,/user/user/document/image_444.jpg,2023-04-08 05:27:17,2022-06-01 04:47:40
Angular Leaf Spot,Poor Drainage,Improve soil drainage,0.53,/user/user/document/image_942.jpg,2023-07-01 19:59:49,2022-11-24 09:28:30
Basal Stem Rot,Poor Drainage,Provide adequate nutrition,0.97,/user/user/document/image_404.jpg,2022-07-22 14:32:32,2022-06-26 03:10:49
Phomopsis Blight,Bacterial Infection,Provide adequate nutrition,0.9,/user/user/document/image_447.jpg,2023-11-26 03:30:24,2023-12-05 20:04:28
Corky Root Rot,Chemical Damage,Use resistant varieties,0.83,/user/user/document/image_627.jpg,2022-07-07 21:27:41,2022-08-22 00:13:47
Halo Blight,Pests,Apply bactericide,0.61,/user/user/document/image_24.jpg,2022-07-08 07:48:01,2023-11-25 19:09:18
Citrus Greening,Chemical Damage,Remove infected leaves,0.89,/user/user/document/image_650.jpg,2022-07-02 05:17:09,2024-03-28 10:33:09
Common Rust,Pests,Use resistant varieties,0.66,/user/user/document/image_677.jpg,2022-12-15 17:40:59,2022-03-03 22:26:55
Late Blight,Bacterial Infection,Apply neem oil,0.55,/user/user/document/image_651.jpg,2023-07-14 03:58:19,2022-02-12 14:43:20
Fusarium Wilt,Pests,Apply neem oil,0.61,/user/user/document/image_281.jpg,2023-07-24 15:23:44,2023-01-25 00:11:14
Bacterial Wilt,Pests,Apply neem oil,0.61,/user/user/document/image_401.jpg,2022-11-30 05:01:05,2023-05-12 13:10:36
Clubroot,Chemical Damage,Control pests,0.67,/user/user/document/image_473.jpg,2022-06-23 18:39:02,2023-03-11 01:57:19
Black Rot,Pests,Adjust watering schedule,0.89,/user/user/document/image_273.jpg,2023-08-07 21:38:16,2023-05-05 16:29:10
Stem Rot,Fungal Infection,Provide adequate nutrition,0.72,/user/user/document/image_433.jpg,2024-02-20 02:31:34,2022-06-04 16:09:12
Late Blight,Environmental Stress,Use resistant varieties,0.92,/user/user/document/image_271.jpg,2022-07-08 08:23:55,2024-05-01 16:26:46
Powdery Mildew,Bacterial Infection,Improve soil drainage,0.51,/user/user/document/image_188.jpg,2023-04-08 01:30:49,2023-12-11 01:36:39
Ascochyta Blight,Pests,Apply neem oil,0.57,/user/user/document/image_115.jpg,2023-03-01 18:26:48,2023-01-21 03:06:57
Squash Mosaic Virus,Chemical Damage,Remove infected leaves,0.98,/user/user/document/image_96.jpg,2023-06-26 00:37:31,2022-07-21 06:03:18
Anthracnose,Environmental Stress,Apply neem oil,0.78,/user/user/document/image_849.jpg,2024-04-09 14:26:38,2024-03-20 03:54:03
Black Root Rot,Pests,Apply neem oil,0.79,/user/user/document/image_549.jpg,2023-03-31 11:51:12,2022-05-13 05:55:46
Peanut Leaf Spot,Environmental Stress,Remove infected leaves,0.64,/user/user/document/image_855.jpg,2022-03-20 20:20:49,2022-10-26 10:54:52
Potato Scab,Viral Infection,Use proper sanitation practices,0.53,/user/user/document/image_252.jpg,2023-12-13 11:50:45,2022-12-23 09:23:37
Nematode Damage,Nutrient Deficiency,Apply bactericide,0.68,/user/user/document/image_801.jpg,2022-05-10 15:55:17,2022-05-27 00:25:07
Ascochyta Blight,Chemical Damage,Use resistant varieties,0.99,/user/user/document/image_326.jpg,2022-06-17 08:04:03,2023-03-06 05:21:49
Alternaria Leaf Spot,Nutrient Deficiency,Adjust watering schedule,0.51,/user/user/document/image_150.jpg,2023-04-26 10:31:43,2023-05-27 04:38:38
Bacterial Canker,Viral Infection,Apply neem oil,0.51,/user/user/document/image_540.jpg,2023-09-12 05:01:39,2022-01-11 18:00:56
Halo Blight,Bacterial Infection,Adjust watering schedule,0.71,/user/user/document/image_577.jpg,2023-12-08 20:49:40,2022-09-25 21:54:02
Red Stele,Pests,Use proper sanitation practices,0.52,/user/user/document/image_534.jpg,2022-05-28 17:18:26,2023-06-11 16:13:50
Damping-Off,Chemical Damage,Control pests,0.9,/user/user/document/image_177.jpg,2022-08-17 11:58:42,2022-08-05 13:52:27
Huanglongbing,Nutrient Deficiency,Apply bactericide,0.94,/user/user/document/image_380.jpg,2023-03-20 03:02:08,2022-06-28 05:38:18
Hydrangea Rust,Environmental Stress,Apply neem oil,0.92,/user/user/document/image_281.jpg,2024-04-25 16:21:16,2023-12-11 05:47:26
Botrytis Blight,Fungal Infection,Apply neem oil,0.57,/user/user/document/image_260.jpg,2023-02-22 04:06:26,2022-02-04 10:04:16
Clubroot,Nutrient Deficiency,Apply bactericide,0.76,/user/user/document/image_890.jpg,2023-03-25 20:42:16,2022-07-09 10:33:01
Corky Root Rot,Bacterial Infection,Use fungicide,0.95,/user/user/document/image_531.jpg,2023-11-10 17:15:45,2022-04-12 06:57:59
Tomato Spotted Wilt Virus,Environmental Stress,Apply bactericide,0.65,/user/user/document/image_779.jpg,2022-10-11 14:07:34,2023-11-11 00:43:31
Black Root Rot,Pests,Apply bactericide,0.68,/user/user/document/image_431.jpg,2022-09-16 09:47:07,2023-06-02 14:39:03
Potato Scab,Viral Infection,Apply bactericide,0.99,/user/user/document/image_402.jpg,2023-01-17 10:35:35,2024-03-19 14:08:50
Cercospora Leaf Spot,Nutrient Deficiency,Adjust watering schedule,0.73,/user/user/document/image_611.jpg,2023-12-17 03:29:10,2023-08-21 02:25:46
Stem Rust,Chemical Damage,Apply bactericide,0.7,/user/user/document/image_168.jpg,2022-08-25 16:47:19,2024-04-06 18:00:15
Maize Dwarf Mosaic Virus,Poor Drainage,Control pests,0.88,/user/user/document/image_955.jpg,2022-11-22 16:31:47,2022-06-29 17:56:08
Dutch Elm Disease,Fungal Infection,Provide adequate nutrition,0.61,/user/user/document/image_855.jpg,2022-07-01 06:45:35,2022-04-13 23:46:17
Peanut Leaf Spot,Nutrient Deficiency,Apply neem oil,0.9,/user/user/document/image_482.jpg,2023-04-17 08:25:22,2024-05-03 21:21:33
Onion Downy Mildew,Environmental Stress,Use fungicide,0.68,/user/user/document/image_632.jpg,2024-03-21 18:24:43,2023-10-22 19:13:12
Verticillium Wilt,Nutrient Deficiency,Provide adequate nutrition,0.89,/user/user/document/image_716.jpg,2022-10-15 22:46:10,2024-02-13 01:21:41
Ergot,Environmental Stress,Apply bactericide,0.64,/user/user/document/image_343.jpg,2023-08-14 20:46:30,2022-10-15 06:17:56
